item,category,conc_m,aoa,log_freq,valence,dominance,arousal,auditory,gustatory,haptic,olfactory,visual,interoceptive
crocodile,animal,4.83,5.11,2.0645,3.15,3.47,6.48,1.315789474,0.263157895,0.947368421,0.315789474,3.421052632,0.105263158
dog,animal,4.85,2.8,3.9928,7,5.73,5.43,4.117647059,0.588235294,3.823529412,2.823529412,4.588235294,0.647058824
dolphin,animal,4.96,6.05,2.1523,6.67,5.67,3,2.45,0.15,1.225,0.35,4.225,0.075
dragon,animal,4.39,5.58,2.9934,6.68,5.17,5.45,2.352941176,0,1.117647059,0.588235294,3.352941176,0.058823529
duck,animal,4.86,3.5,3.1017,6.11,5.3,4,3.315789474,2.263157895,2.052631579,0.789473684,4.421052632,0.315789474
elephant,animal,5,4.8,2.7642,6.17,4.23,4.23,3.35,0,1.95,1.95,4.35,0.55
fish,animal,5,4.05,3.6293,6.42,6.08,3.33,1.058823529,4.176470588,2.352941176,3.411764706,4.470588235,0.058823529
flamingo,animal,4.81,6.32,1.7853,6.74,6.19,4.59,1.315789474,0.210526316,1.210526316,0.421052632,4.578947368,0.157894737
frog,animal,5,4.32,2.781,5.84,5.5,4.07,3.666666667,0.444444444,2,0.666666667,3.777777778,0.722222222
giraffe,animal,4.73,5,1.8865,6.52,5.27,2.91,1.555555556,0,1.055555556,1.222222222,4.222222222,0.222222222
horse,animal,5,4.15,3.6756,6.05,5.71,4.16,3.294117647,0.235294118,3.411764706,1.588235294,4.647058824,0.176470588
kangaroo,animal,4.86,5.55,2.0755,6.45,5.37,4.27,1.396551724,0.362068966,1.120689655,0.931034483,4.017241379,0.137931034
lobster,animal,4.86,7.44,2.574,6.43,5.55,4.67,0.611111111,3.611111111,2.388888889,2.388888889,3.888888889,0
monkey,animal,4.9,4.21,3.233,5.82,5.74,5.15,2.80952381,0,1.380952381,1.333333333,3.80952381,0.047619048
mosquito,animal,4.88,6.1,1.9731,3.12,3.88,5.17,3,0,3.055555556,0,4.5,1.111111111
mouse,animal,4.83,4.94,2.9894,4.8,4.29,3.38,2.743589744,0.051282051,1.743589744,0.692307692,4.076923077,0.282051282
mushroom,animal,4.83,6.44,2.0414,5.61,5.5,3.14,0.473684211,3.421052632,2.421052632,2.210526316,3.631578947,0.473684211
octopus,animal,5,6.26,2,6,5.76,5.1,0.555555556,1.444444444,1.611111111,0.916666667,4.222222222,0.333333333
owl,animal,4.93,6.21,2.4579,6.3,5.02,3.57,3.941176471,0.058823529,1.058823529,0.294117647,4.647058824,0.058823529
panda,animal,4.75,5.67,2.0374,7.55,5.14,4.05,1.941176471,0,0.882352941,0.529411765,4.235294118,0.352941176
parrot,animal,5,5.58,2.2253,6.79,4.25,4.65,3.55,0,1.9,0.65,3.9,0
penguin,animal,5,5.68,2.1703,6.65,4.86,4,1.9,0,1.6,0.45,4.45,0
pig,animal,5,3.84,3.3004,4.83,5.04,3.68,2.75,1.9375,1.25,2.25,3.75,0.25
rabbit,animal,4.93,3.94,3.029,7.21,5.95,3.98,0.789473684,1,2.473684211,0.736842105,3.684210526,0.315789474
raccoon,animal,4.67,6.79,1.8692,5.85,5.19,5.16,2.857142857,0.535714286,1.25,1.142857143,4.142857143,0.107142857
rhinoceros,animal,4.75,6,1.5911,6,4.4,4.47,2.05,0.2,1.5,0.95,4,0.15
scorpion,animal,4.84,7.84,2.1367,3.68,4.67,6.45,0.6,0.35,2.05,0.4,3.8,1.1
shark,animal,4.93,5.47,2.8837,4.02,4.87,5.27,0.888888889,0.555555556,0.888888889,0.444444444,3.944444444,1
sheep,animal,4.9,4.25,2.8363,5.32,4.42,2.95,3.473684211,0.315789474,2.105263158,1.263157895,4.105263158,0.105263158
snail,animal,4.93,5.79,1.959,4.52,5.58,3.05,0,0.368421053,1,0.105263158,4.421052632,0
snake,animal,5,5.1,3.0573,4.03,3.65,7.24,2.35,0.05,1.9,0.05,4.4,0.9
spider,animal,4.97,3.43,2.7126,3.35,3.74,6.91,0.473684211,0,1.578947368,0.078947368,4.289473684,0.631578947
squirrel,animal,4.89,4.44,2.4472,5.71,5.62,4.48,2.285714286,0.2,1.342857143,0.142857143,4.342857143,0.057142857
swan,animal,4.96,6.32,2.5428,NA,NA,NA,1.588235294,0.235294118,0.823529412,0.470588235,4.411764706,0
tiger,animal,5,4,2.9759,6,4.4,5.55,2.764705882,0,1.294117647,0.529411765,4.470588235,0.411764706
whale,animal,4.96,5.47,2.7597,5.81,5.57,4.2,2.647058824,0.176470588,1.176470588,0.529411765,4.647058824,0.235294118
zebra,animal,4.86,4.79,2.1106,6.47,5.26,3.9,1.944444444,0.111111111,1.944444444,1.277777778,4,0.055555556
flower,animal,5,3.11,3.0652,7.3,6.43,3.67,0.277777778,1.166666667,3.333333333,4.388888889,4.277777778,1
grass,animal,4.93,3.94,2.933,6.47,5.67,3.39,0.739728597,0.57544869,3.420298918,3.032830967,4.411669064,0.438246514
lion,animal,4.96,4.42,2.8943,5.84,4.86,5.29,3.882352941,0.470588235,1.823529412,0.941176471,4.823529412,0.941176471
leaf,animal,5,4.6,2.4249,6.16,5.54,3.05,1.421052632,0.684210526,4,1,4.578947368,0
hedgehog,animal,4.93,8.63,1.2041,NA,NA,NA,1.052631579,0.052631579,2.368421053,0.421052632,3.947368421,0.157894737
zigzag,shape,3.52,6.06,1.3802,5.18,5,5.42,0.15,0,0.5,0,4.5,0.45
octagon,shape,4.43,8,1.0792,NA,NA,NA,0.444444444,0.444444444,1.722222222,0.444444444,4.222222222,0.444444444
square,shape,4.33,4.11,3.2098,5.11,5.3,3.33,0.111111111,0.055555556,1.611111111,0.055555556,3.722222222,0.055555556
squiggle,shape,3.88,8.11,0.4771,NA,NA,NA,0.666666667,0.066666667,0.533333333,0.066666667,3.866666667,0.133333333
star,shape,4.69,3.89,3.618,7.47,5.82,5.5,0.833333333,0.111111111,0.166666667,0.166666667,4.444444444,0.611111111
triangle,shape,4.52,4.9,2.3404,5.21,5.06,3.5,0.6,0,1.4,0,4.466666667,0.333333333
hexagon,shape,4.52,7.95,0.699,NA,NA,NA,0.0625,0,1.125,0,3.25,0.0625
line,shape,4.5,4.85,4.0219,4.82,4.89,3.24,0.888888889,0,1.222222222,0,4.444444444,0.222222222
circle,shape,4.44,3.67,3.0406,5.76,5.38,3.33,0,0.157894737,1.526315789,0,4.526315789,0.684210526
airplane,transportation,4.96,3.94,2.7466,5.25,4.12,5.62,3.111111111,0.055555556,1.5,0.222222222,4.166666667,0.611111111
ambulance,transportation,4.81,6.16,3.0584,3.71,3.29,5.33,4.473684211,0.052631579,2.263157895,0.157894737,4.263157895,0.684210526
bicycle,transportation,4.89,4.26,2.5289,6.71,6.2,3.95,1.25,0.15,3.25,0.2,3.7,0.95
bulldozer,transportation,4.9,5.61,1.8261,4.81,5.64,4.05,3.526315789,0.052631579,1.947368421,0.473684211,4.157894737,0.736842105
bus,transportation,4.9,3.85,3.578,5.12,4.88,3.83,3.263157895,0,1.368421053,0.421052632,4.263157895,0.210526316
canoe,transportation,4.86,6.63,2.2625,5.76,6.15,3.7,0.777777778,0.111111111,3.222222222,0.277777778,4.222222222,0.444444444
car,transportation,4.89,3.37,4.3916,6.63,6.41,4.04,3.388888889,0,2.777777778,1.5,4.388888889,0.444444444
firetruck,transportation,5,3.69,0.6021,NA,NA,NA,3.952380952,0.047619048,1.476190476,0.523809524,4.476190476,0.238095238
helicopter,transportation,4.62,5.26,2.9069,5.55,6.17,6.11,4.647058824,0,1.235294118,0.235294118,4.764705882,0.588235294
rollerskates,transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sailboat,transportation,4.89,4.65,1.9191,6.81,6.05,2.5,0.888888889,0.055555556,1.388888889,0.444444444,3.611111111,0.333333333
skateboard,transportation,4.86,6.94,1.9345,5.16,5.16,4,2.65,0,3.1,0,4.6,0.55
speedboat,transportation,4.87,6.5,1.4472,7,5.87,5.65,2.944444444,0.333333333,1.722222222,0.444444444,4.444444444,1.111111111
submarine,transportation,4.8,7.94,2.5599,6,4.61,4.24,1.611111111,0,0.777777778,0,3.888888889,0.055555556
train,transportation,4.79,4,3.6857,6.36,5.72,4.05,4.210526316,0,0.578947368,0.157894737,4.421052632,0.157894737
truck,transportation,4.84,3.79,3.5702,5.16,5.43,3.76,3.111111111,0,2.277777778,0.888888889,4.277777778,0.333333333
van,transportation,4.72,5.2,3.4219,4.43,5.35,4.35,2.75,0.0625,2.1875,0.8125,4.9375,0.5625
tractor,transportation,5,5.5,2.281,5.05,5.75,3.73,3.4,0.266666667,2.4,0.333333333,4.2,0.266666667
backpack,clothing,4.96,5.38,2.2718,6.05,6.5,3.68,0.4,0.05,2.9,0.25,3.95,0.2
belt,clothing,4.9,4.62,3.0945,4.44,5.75,3.45,0.333333333,0.166666667,3.277777778,0.333333333,4,0.333333333
bowtie,clothing,4.89,7.94,0.8451,NA,NA,NA,0.157894737,0.052631579,3.210526316,0.105263158,4.210526316,0.210526316
bracelet,clothing,4.96,5.68,2.601,6.48,5,3.96,0.368421053,0.052631579,3.105263158,0.052631579,3.894736842,0.315789474
crown,clothing,4.81,7.8,2.8445,6,5.62,4.52,0.210526316,0.052631579,3.052631579,0.105263158,4.315789474,0.473684211
hat,clothing,4.88,3.33,3.5151,5.69,6.21,2.88,0.058823529,0,3.058823529,0.294117647,4.470588235,0.294117647
helmet,clothing,4.92,5.71,2.6848,5.26,5.52,3.71,0.526315789,0.157894737,2.842105263,0.210526316,4.052631579,0.368421053
jacket,clothing,4.86,3.95,3.2317,5.86,6.89,3.35,0.941176471,0,3.882352941,0.176470588,4.117647059,0.941176471
lipstick,clothing,4.9,5.42,2.6532,6.35,5.58,4,0.1,0.7,2.9,0.8,4.3,0.3
necklace,clothing,4.96,5,2.6972,6.85,5.64,3.52,0.3125,0,2.625,0,3.9375,0.125
pants,clothing,4.86,3.23,3.4767,5.62,6.29,3.8,0.3,0,3.3,0.15,3.95,0.3
purse,clothing,4.9,5.53,3.0039,5.95,5.68,3.21,0.333333333,0,3,0.222222222,4.611111111,0
shoe,clothing,4.97,2.6,3.1906,5.78,5.44,2.4,0.777777778,0,3.444444444,1.055555556,4.388888889,0.277777778
shorts,clothing,4.82,3.95,2.6821,5.95,6.57,4.23,0.421052632,0.052631579,2.684210526,0.263157895,4.368421053,0.263157895
sock,clothing,4.91,2.94,2.6618,4.43,5.14,3.09,0.166666667,0.166666667,4.111111111,1.666666667,3.611111111,0.277777778
sweater,clothing,4.78,5.22,2.8482,6.19,5.95,2.8,0,0,4.105263158,0.421052632,3.894736842,0.421052632
underwear,clothing,4.96,3.94,3.0438,5.35,5.7,4.46,0.1875,0,3.875,1.25,4.5625,0.3125
wristwatch,clothing,4.85,7.32,1.7782,5.63,5.12,3.75,0.823529412,0,3.058823529,0.058823529,4.588235294,0
beard,clothing,4.96,4.84,2.8089,5.09,5.42,3.18,0.1,0,3.35,0.05,4.35,0.05
goatee,clothing,4.89,11.78,1.7404,5.48,5.62,3.48,0.058823529,0,2.235294118,0,4.352941176,0
moustache,clothing,4.96,5.4,2.2878,5.35,5.32,3.23,0.2,0.15,3.05,0.35,4.15,0.3
